lesson_id,student_id,booking_ts,hours_booked
5023556,4472387,2025-03-27 01:57:31.641,1.0
5023562,4472387,2025-03-30 20:38:42.040,1.5
5023558,4472387,2025-04-01 09:19:22.507,1.0
5008279,4246629,2025-04-03 19:59:46.938,1.0
5035597,4470050,2025-04-04 02:37:50.743,1.0
5023565,4472387,2025-04-05 07:13:25.402,1.0
5007665,4694022,2025-04-07 19:36:19.018,1.5
5022060,4514723,2025-04-08 21:08:24.510,1.0
5030349,4894787,2025-04-09 02:39:44.645,1.0
5023560,4472387,2025-04-09 05:11:38.891,1.0
5022062,4514723,2025-04-10 01:24:54.680,1.0
5023564,4472387,2025-04-10 02:13:05.111,1.5
5023559,4472387,2025-04-10 03:32:22.810,1.0
5023561,4472387,2025-04-11 00:47:24.707,1.5
5007663,4694022,2025-04-11 09:43:08.656,1.0
5008280,4246629,2025-04-11 10:06:55.608,1.5
5015150,4127253,2025-04-11 10:54:58.770,0.5
5007664,4694022,2025-04-11 13:22:22.118,1.5
5044328,4961278,2025-04-12 10:14:01.658,1.0
5044329,4961278,2025-04-12 13:49:26.645,1.0
5044487,4983566,2025-04-13 05:58:19.656,1.0
5007661,4694022,2025-04-13 07:46:08.313,1.0
5035598,4470050,2025-04-13 16:33:08.246,1.0
5042152,4185751,2025-04-13 19:57:21.024,1.0
5042159,4185751,2025-04-13 23:49:26.481,1.0
5022065,4514723,2025-04-13 23:52:01.112,0.5
5001454,4896865,2025-04-14 02:48:50.240,1.0
5015149,4127253,2025-04-14 07:07:16.489,1.0
5044488,4983566,2025-04-14 16:24:24.028,1.0
5023557,4472387,2025-04-14 21:33:38.912,1.0
5023563,4472387,2025-04-14 23:40:06.493,1.0
5008281,4246629,2025-04-15 00:24:34.794,0.5
5009271,4846305,2025-04-15 22:41:07.661,1.0
5037602,4497305,2025-04-16 00:22:27.401,1.5
5030347,4894787,2025-04-16 00:26:06.655,1.0
5044490,4983566,2025-04-16 06:06:57.614,2.0
5022320,4193319,2025-04-16 16:21:35.056,1.0
5035595,4470050,2025-04-16 18:11:42.593,1.0
5022061,4514723,2025-04-16 22:07:34.170,1.0
5028571,4151157,2025-04-16 23:28:35.794,0.5
5035596,4470050,2025-04-17 03:39:42.977,1.0
5048512,4001640,2025-04-17 09:39:22.992,0.5
5036867,4894217,2025-04-17 10:05:57.287,1.0
5044484,4983566,2025-04-17 13:50:44.157,1.0
5028564,4151157,2025-04-17 13:59:29.413,1.5
5003056,4095325,2025-04-17 15:23:00.189,0.5
5007662,4694022,2025-04-17 18:22:17.644,1.0
5028567,4151157,2025-04-18 11:28:51.664,1.5
5019623,4547091,2025-04-18 14:42:02.524,1.0
5008278,4246629,2025-04-18 18:53:14.374,0.5
5020325,4270902,2025-04-18 19:16:10.888,1.0
5033797,4874190,2025-04-19 02:52:08.458,0.5
5005663,4943313,2025-04-19 06:30:59.241,1.0
5030348,4894787,2025-04-19 06:45:33.674,1.0
5028569,4151157,2025-04-19 07:13:26.303,1.0
5042154,4185751,2025-04-19 13:11:20.928,1.5
5032792,4343939,2025-04-19 14:08:47.021,1.5
5022064,4514723,2025-04-19 14:27:58.841,1.0
5042160,4185751,2025-04-19 16:04:50.694,0.5
5042156,4185751,2025-04-19 17:08:55.341,0.5
5041908,4762712,2025-04-20 05:49:39.977,0.5
5028572,4151157,2025-04-20 05:52:00.222,1.0
5030350,4894787,2025-04-20 19:00:58.385,0.5
5028570,4151157,2025-04-20 21:14:29.743,0.5
5033790,4874190,2025-04-20 23:43:27.921,1.0
5022268,4357256,2025-04-21 01:24:18.560,1.5
5028573,4151157,2025-04-21 04:17:13.420,1.0
5048685,4070966,2025-04-21 06:58:10.628,1.0
5048686,4070966,2025-04-22 09:09:25.933,0.5
5033793,4874190,2025-04-22 09:24:54.723,0.5
5044489,4983566,2025-04-22 09:55:46.635,1.0
5028566,4151157,2025-04-22 11:38:47.898,1.0
5015151,4127253,2025-04-22 13:27:54.433,1.0
5043774,4381574,2025-04-22 15:05:57.680,1.0
5036865,4894217,2025-04-22 16:19:11.640,1.0
5003055,4095325,2025-04-23 00:46:36.420,1.0
5013932,4787625,2025-04-23 07:16:56.412,1.5
5044485,4983566,2025-04-23 07:21:04.672,2.0
5022847,4236650,2025-04-23 08:00:01.160,1.5
5028625,4913239,2025-04-23 09:25:46.259,1.5
5001451,4896865,2025-04-23 11:44:38.725,1.5
5003053,4095325,2025-04-23 13:08:52.162,1.5
5019621,4547091,2025-04-23 14:33:29.298,1.0
5022319,4193319,2025-04-23 15:31:35.368,1.0
5037603,4497305,2025-04-23 20:20:44.604,1.5
5028626,4913239,2025-04-23 21:54:20.030,0.5
5048511,4001640,2025-04-24 01:24:21.234,1.5
5033794,4874190,2025-04-24 08:58:34.078,1.0
5041909,4762712,2025-04-24 09:43:37.039,1.0
5028568,4151157,2025-04-24 10:31:48.064,1.0
5035176,4375644,2025-04-24 16:11:27.238,1.5
5022269,4357256,2025-04-24 17:21:45.284,1.5
5036308,4465108,2025-04-24 18:57:01.743,1.0
5041910,4762712,2025-04-24 19:11:18.253,0.5
5036309,4465108,2025-04-24 19:59:35.133,0.5
5001452,4896865,2025-04-24 20:16:49.648,1.0
5009270,4846305,2025-04-25 02:41:23.631,1.0
5032794,4343939,2025-04-25 04:20:19.446,1.0
5022321,4193319,2025-04-25 04:51:10.690,1.5
5015194,4840346,2025-04-25 05:58:10.945,1.0
5049866,4043941,2025-04-25 07:11:04.831,0.5
